subject,body,type,queue,priority,language
Urgent: Critical impact on enterprise network connectivity,"Dear Customer Support Team, We are experiencing a complete outage affecting our enterprise network involving Cisco Router ISR4331. This disruption is critically impacting our secure WAN connectivity across all domains, urgently requiring your immediate intervention. Due to this issue, our company has halted various essential operations, significantly affecting our services and commitments to clients. As our technical team has not been able to resolve the problem internally, we need your expert support to diagnose and rectify this issue swiftly. Please consider this a high priority and provide us with the necessary technical assistance to restore our network’s functionality. Thank you for your prompt attention. Best regards, <name>, IT Manager at <company>",Incident,Technical Support,high,en
Intermittent Cursor Freezing Issue on Dell XPS,"Dear Customer Support,<br><br>I hope this message finds you well. I am experiencing an intermittent cursor freezing issue on my Dell XPS 13 9310. Despite updating all relevant drivers and software to the latest versions, the problem persists. This issue disrupts my productivity and it would be greatly appreciated if you could provide assistance in resolving this. Please let me know if there are any specific diagnostics I should perform or if a replacement unit might be necessary. Thank you for your attention to this matter.<br><br>Best regards,<br><name><br><tel_num><br><acc_num>",Incident,Product Support,low,en
Urgent: Support needed for data recovery of MySQL 8.0.30,"Hallo, wir haben severe Datenverluste in MySQL 8.0.30 festgestellt. Sofortige technische Unterstützung ist entscheidend, um die betroffenen Daten schnell wiederherzustellen. Vielen Dank für Ihre dringende Aufmerksamkeit.",Incident,Technical Support,high,de
Inquiry about MacBook Air M1 features,"Sehr geehrtes Kundenserviceteam,

ich hoffe, diese Nachricht erreicht Sie wohlauf. Ich wende mich an Sie, um Informationen über das MacBook Air M1 im Rahmen meines Kaufentscheidungsprozesses zu erhalten. Ich würde mich über detaillierte Informationen zu den Funktionen freuen, insbesondere hinsichtlich der Verarbeitungsgeschwindigkeit, der Akkulaufzeit und der verfügbaren Anschlussmöglichkeiten. Könnten Sie mir außerdem Einblicke in die Kompatibilität mit Software geben, die häufig für Grafikdesign und Produktivitätsaufgaben verwendet wird? 

Es wäre auch sehr hilfreich, die Preisdetails zu verstehen. Gibt es derzeit laufende Aktionen oder Rabatte für das MacBook Air M1? Darüber hinaus wäre es hilfreich, Informationen zu Garantieoptionen und Kundendienstleistungen nach dem Verkauf zu erhalten. Ich möchte eine informierte Entscheidung treffen und sicherstellen, dass dieser Laptop meinen beruflichen Bedürfnissen entspricht, und Ihre sorgfältigen Informationen sind dabei von unschätzbarem Wert.

Vielen Dank für Ihre Hilfe. Ich freue mich auf Ihre zeitnahe Antwort mit den angeforderten Details. Sie können mich direkt unter <tel_num> kontaktieren, sollten Sie weitere Informationen von meiner Seite benötigen.

Mit freundlichen Grüßen,

<name>",Request,Sales and Pre-Sales,low,de
Request Assistance with Office 365 Installation Error,"Caro Suporte ao Cliente,

Estou enfrentando um erro de instalação com o Excel no Microsoft Office 365 e preciso de assistência para resolver o problema rapidamente. O erro ocorre durante a fase de instalação e tem impedido minha capacidade de utilizar recursos necessários no Excel, impactando minha produtividade. Como usuário de assinatura, isso está causando desconforto e necessita de atenção imediata para solucionar e implementar uma correção apropriada.

Por favor, me guie pelo processo para resolver este problema ou agende uma sessão de suporte se necessário. É crucial resolver isso o mais cedo possível para evitar mais interrupções. Aguardarei sua resposta rápida e uma resolução bem-sucedida.

Obrigado,

<name>",Problem,Technical Support,medium,pt
Exchange Request for Malfunctioning Dell XPS 13,"Dear Tech Online Store Customer Support,

I hope this message finds you well. I am writing to request an exchange for my recently purchased Dell XPS 13 9310. Unfortunately, the device's display was malfunctioning right out of the box, which has been quite disappointing. My order number is <order_num>, and it was delivered on <delivery_date>.

I believe I am eligible for an exchange as per your store’s policy. Please advise on how to proceed with this process. I am eager to receive a fully functioning replacement.

Thank you for your prompt attention to this matter.

Best regards,

<name>

<email>

<tel_num>",Change,Returns and Exchanges,medium,en
Request for Server Administration Assistance,"Dear IT Services Customer Support, 

We are writing to request professional assistance with server administration within our software development environment. Our client, <name>, has been experiencing performance issues specifically with their ticket system, and we believe this directly affects their ability to efficiently manage internal projects and communications. 

The product in question is your IT Consulting Service, which has otherwise been exemplary. We suspect that optimizing server performance and ensuring all systems are operating efficiently will significantly improve the ticket handling process. 

Our team has identified several bottlenecks within the current configuration that could be contributing to these performance issues. While we have implemented temporary solutions to mitigate the impact, a more comprehensive approach is necessary for long-term stability and efficiency. 

Could you please prioritize our service request and provide us with available options or strategies that we could employ? We are keen on setting up a consultation as soon as possible. Looking forward to your prompt response. 

Thank you for your cooperation and assistance. 

Best regards, 

<name>
<tel_num>",Request,Product Support,medium,en
Immediate Attention Required: AWS Outage Concern,"Greetings IT Services Customer Support,

I am <name> and I am contacting you to highlight an urgent problem with our AWS Management Service, account number <acc_num>. We have been experiencing considerable outages that are severely disrupting our operations. Given that we depend heavily on AWS for our cloud infrastructure, this interruption is significantly hindering our business continuity.

Our team first observed the outages affecting several elements of our system since <start_time>. What we initially thought might be a minor issue has escalated; despite our efforts to resolve the matter, including restarting services and reviewing the initial support documents, the outages have continued.

We urgently request assistance from your expert cloud infrastructure team to examine and solve this matter. Given its time-sensitive nature, rapid intervention is crucial for the restoration of our operations. We would greatly appreciate it if your team could treat this investigation as a priority and keep us informed about progress and findings. Additionally, could you please ensure that extra resources are allocated to expedite the resolution?

You can reach me at <email> or by phone at <tel_num>. We look forward to your prompt response to this urgent issue. Thank you for your swift attention to this important matter.

Sincerely,
<name>",Incident,Technical Support,high,en
Urgent Assistance Needed,"Hello Support Team,

I am reaching out to urgently request help regarding an issue I'm facing with Microsoft Office 365: Excel. Our team relies heavily on Excel for analyzing our weekly budget, but we've recently encountered a significant problem with formula errors, leading to erroneous calculations. This issue is critically impacting our financial assessments and needs immediate attention.

After noticing the discrepancies, I thoroughly evaluated the formulas and data inputs but the irregularities continue to persist. This situation has resulted in substantial inefficiencies and has raised concerns about the reliability of our reports. As a result, we are now unable to proceed with essential budgeting tasks for the upcoming quarter.

Given the urgent nature of this matter, I would truly appreciate it if your support team could provide a prompt and effective solution. Please let me know if you require any additional information from me, or if enabling remote access could assist in expediting the resolution. You can reach me directly at <tel_num>.

Thank you for your quick attention to this situation.

Warm regards,
<name>
<company_name>
<acc_num>",Request,IT Support,high,en
Login issues with Microsoft Surface Pro 7,"Sehr geehrter Tech Online Store Support,

Ich hoffe, diese Nachricht erreicht Sie wohl. Ich schreibe, um ein Problem zu melden, das ich mit dem Microsoft Surface Pro 7 Tablet habe, das ich gekauft habe. Das Gerät hat kontinuierlich Startprobleme, die zu Anmeldeproblemen führen. Als wichtiges Werkzeug für meine täglichen Aufgaben hat diese Störung meine Produktivität erheblich beeinträchtigt. Ich habe grundlegende Fehlersuche-Methoden wie das Neustarten des Geräts, das Überprüfen auf Software-Updates und das Zurücksetzen des Geräts versucht; jedoch haben diese Bemühungen das Problem nicht behoben. Ich wende mich an Sie, um Anleitung zu fortgeschritteneren Fehlersuche-Methoden zu bitten oder die Möglichkeit einer Reparatur oder eines Austauschs im Rahmen der Garantie zu untersuchen. Bitte lassen Sie mich die nächsten Schritte zur Lösung dieses Problems wissen. Meine Bestellnummer ist <order_num> und meine Kontonummer ist <acc_num>. Vielen Dank für Ihre Aufmerksamkeit in dieser Angelegenheit, und ich freue mich auf Ihre schnelle Antwort.

Mit freundlichen Grüßen,
<name>
Kontakt: <tel_num>",Problem,Technical Support,high,de
