label,processed_text,priority,urgency
2,This is a critical issue.,high,urgent
1,This is a moderate issue.,medium,not_urgent
0,This is a minor issue.,low,not_urgent
2,This issue requires immediate attention.,high,urgent
1,This issue should be addressed soon.,medium,not_urgent
0,This issue is not urgent.,low,not_urgent
2,This problem is very serious.,high,urgent
1,This problem is not trivial.,medium,not_urgent
0,This problem is easily solvable.,low,not_urgent
2,Urgent action is needed immediately.,high,urgent
1,The situation has a significant impact.,medium,not_urgent
0,There is no rush on this task.,low,not_urgent
2,This is a high-priority concern.,high,urgent
1,The concern raised is of reasonable importance.,medium,not_urgent
0,This can wait until next week.,low,not_urgent
2,Immediate intervention is required.,high,urgent
1,It warrants attention but is not urgent.,medium,not_urgent
0,This issue is of low priority.,low,not_urgent
2,This situation is extremely urgent.,high,urgent
1,This matter requires consideration in the near future.,medium,not_urgent
0,This is not a critical concern.,low,not_urgent
2,We must address this issue right away.,high,urgent
1,"This is not a minor concern, yet not critical.",medium,not_urgent
0,There’s plenty of time to resolve this.,low,not_urgent
2,It is crucial that we act now.,high,urgent
1,The topic holds moderate relevance and should be reviewed.,medium,not_urgent
0,This is a trivial concern.,low,not_urgent
2,This cannot wait any longer.,high,urgent
1,"This issue, while not severe, should not be overlooked.",medium,not_urgent
0,This situation is under control.,low,not_urgent
2,Time is of the essence with this matter.,high,urgent
1,The issue presents a moderate level of importance.,medium,not_urgent
0,This is only a slight inconvenience.,low,not_urgent
2,This is a top-priority item.,high,urgent
1,Consider addressing this issue in the upcoming period.,medium,not_urgent
0,This problem has minimal impact.,low,not_urgent
2,We are facing a severe situation here.,high,urgent
1,This issue merits attention but can wait for now.,medium,not_urgent
0,This does not need immediate attention.,low,not_urgent
2,This matter demands immediate resolution.,high,urgent
1,The concern should be scheduled for review soon.,medium,not_urgent
0,We can deal with this later.,low,not_urgent
2,We must tackle this problem head-on without delay.,high,urgent
1,This problem holds enough significance to warrant discussion.,medium,not_urgent
0,This should not be prioritized right now.,low,not_urgent
2,This requires our immediate and undivided attention.,high,urgent
1,The impact of this issue is not negligible and requires planning.,medium,not_urgent
0,This matter is relatively unimportant.,low,not_urgent
2,This is an emergency situation.,high,urgent
1,This situation should be managed with a balanced approach soon.,medium,not_urgent
0,This is hardly a problem.,low,not_urgent
2,Action must be taken at once.,high,urgent
1,The matter is of moderate urgency and should be handled accordingly.,medium,not_urgent
0,There is no need to hurry with this.,low,not_urgent
2,This situation is growing increasingly serious.,high,urgent
1,"Addressing this will be beneficial, though it is not pressing.",medium,not_urgent
0,This can be postponed.,low,not_urgent
2,There is no time to waste on this issue.,high,urgent
1,The topic should be placed on the agenda for the next meeting.,medium,not_urgent
0,This issue is negligible.,low,not_urgent
2,We need a swift response to this crisis.,high,urgent
1,This concern should be given moderate priority.,medium,not_urgent
0,This is not a pressing matter.,low,not_urgent
2,This is a matter of high importance.,high,urgent
1,"The importance of this issue is clear, though it is not an emergency.",medium,not_urgent
0,This can be handled in routine processing.,low,not_urgent
2,Failure to act quickly could have severe consequences.,high,urgent
1,Moderate attention should be given to this matter in due course.,medium,not_urgent
0,This is not top of the agenda.,low,not_urgent
2,This is a pivotal moment that requires our focus.,high,urgent
1,This is not immediate but should not fall off the radar.,medium,not_urgent
0,There is minimal urgency here.,low,not_urgent
2,We cannot overlook the gravity of this situation.,high,urgent
1,The problem is significant enough to be addressed in the medium term.,medium,not_urgent
0,This is not a cause formajor issues.,low,not_urgent
2,This issue stands at the top of our agenda.,high,urgent
1,It is advisable to consider this issue at the next convenient opportunity.,medium,not_urgent
0,This is not something to worry about.,low,not_urgent
2,We are at a critical juncture with this problem.,high,urgent
1,This should be on our radar but does not require immediate action.,medium,not_urgent
0,This can easily be fixed.,low,not_urgent
2,This is a make-or-break scenario.,high,urgent
1,Plan to address this issue in the near to medium term.,medium,not_urgent
0,There’s no immediate concern.,low,not_urgent
2,The seriousness of this issue cannot be overstated.,high,urgent
1,This concern holds enough weight to be considered seriously.,medium,not_urgent
0,This is a small hiccup.,low,not_urgent
2,We are on a tight deadline to resolve this.,high,urgent
1,Attention to this matter should be moderate and timely.,medium,not_urgent
0,This is not worth fussing over.,low,not_urgent
2,This requires prompt and decisive action.,high,urgent
1,This issue has enough impact to be looked into soon.,medium,not_urgent
0,This is a lower-tier issue.,low,not_urgent
2,Let us prioritize this issue above all others right now.,high,urgent
1,"While this is not urgent, it should eventually be addressed.",medium,not_urgent
0,This should be backlogged.,low,not_urgent
2,This is an acute problem that needs immediate fixing.,high,urgent
1,The matter is significant but does not necessitate immediate action.,medium,not_urgent
0,This requires minimal intervention.,low,not_urgent
2,We must act decisively and without hesitation.,high,urgent
1,This concern merits a deliberate approach soon.,medium,not_urgent
0,This is not imperative.,low,not_urgent
2,This is a pressing issue demanding our attention.,high,urgent
1,The issue is of moderate importance and should be dealt with in time.,medium,not_urgent
0,This can be resolved in a standard timeframe.,low,not_urgent
2,The urgency of this matter cannot be ignored.,high,urgent
1,A balanced approach to this problem is recommended in the near future.,medium,not_urgent
0,This is a secondary concern.,low,not_urgent
2,Immediate measures are necessary to address this.,high,urgent
1,Consider this issue as part of the next phase of planning.,medium,not_urgent
0,This is a low-stakes situation.,low,not_urgent
2,We need to act now to prevent further complications.,high,urgent
1,This topic deserves attention before it escalates.,medium,not_urgent
0,This matter is of minor significance.,low,not_urgent
2,This situation requires our urgent consideration.,high,urgent
1,The situation calls for a reasonable level of concern.,medium,not_urgent
0,This concern is not acute.,low,not_urgent
2,It’s imperative that we address this immediately.,high,urgent
1,"This matter should not be ignored, though it is not of the highest urgency.",medium,not_urgent
0,This problem does not need escalation.,low,not_urgent
2,This cannot be delayed any further.,high,urgent
1,Addressing this in the medium term would be wise.,medium,not_urgent
0,There is no emergency here.,low,not_urgent
2,We face a critical escalation if unaddressed.,high,urgent
1,This should be reviewed at a future meeting soon.,medium,not_urgent
0,This does not require urgent review.,low,not_urgent
2,This is a high-stakes issue that needs resolution.,high,urgent
1,The concern has moderate significance and should be planned for.,medium,not_urgent
0,This is not a priority right now.,low,not_urgent
2,Time sensitive issue ahead that requires quick action.,high,urgent
1,A proactive approach to this matter would be appropriate soon.,medium,not_urgent
0,This issue is backburner material.,low,not_urgent
2,We are pressed for time on this critical matter.,high,urgent
1,This problem is not critical but does require eventual attention.,medium,not_urgent
0,This can be handled at leisure.,low,not_urgent
2,This needs to be treated as a priority.,high,urgent
1,The issue should be kept in consideration for future discussions.,medium,not_urgent
0,This situation does not necessitate haste.,low,not_urgent
2,We must resolve this critical issue without delay.,high,urgent
1,"While not pressing, the matter should not be deferred indefinitely.",medium,not_urgent
0,This can be looked at later.,low,not_urgent
2,This issue merits immediate and serious attention.,high,urgent
1,The impact of this situation is moderate and should be addressed appropriately.,medium,not_urgent
0,This is only a minor setback.,low,not_urgent
2,We must focus our efforts on this serious problem right now.,high,urgent
1,Plan a review of this topic in the near future.,medium,not_urgent
0,This issue can be scheduled for later.,low,not_urgent
2,There is an immediate need for action on this significant issue.,high,urgent
1,The concern is substantial enough to warrant future consideration.,medium,not_urgent
0,This concern can wait.,low,not_urgent
2,Immediate action is imperative to address this.,high,urgent
1,"This issue, while manageable, should not be delayed too long.",medium,not_urgent
0,There is no immediate risk.,low,not_urgent
2,This issue demands our urgent and immediate focus.,high,urgent
1,The importance of this matter calls for its inclusion in upcoming plans.,medium,not_urgent
0,This situation is not critical.,low,not_urgent
2,We must prioritize this problem for immediate resolution.,high,urgent
1,It’s advisable to tackle this issue at a suitable upcoming opportunity.,medium,not_urgent
0,This can be dealt with in due time.,low,not_urgent
2,A rapid response is crucial to address this matter.,high,urgent
1,This should be looked into with moderate urgency.,medium,not_urgent
0,This is not urgent by any means.,low,not_urgent
2,This critical situation cannot be postponed.,high,urgent
1,The situation is not dire but requires careful monitoring.,medium,not_urgent
0,This requires low priority handling.,low,not_urgent
2,Urgency is paramount in dealing with this issue right now.,high,urgent
1,The topic has enough relevance to be considered in upcoming sessions.,medium,not_urgent
0,This issue is manageable.,low,not_urgent
2,We cannot delay action on this critical concern.,high,urgent
1,This concern should be part of your medium-term strategy.,medium,not_urgent
0,There is no rush for a solution.,low,not_urgent
2,This requires our most immediate and proactive attention.,high,urgent
1,Moderate attention is required to effectively handle this issue.,medium,not_urgent
0,This doesn’t require your immediate attention.,low,not_urgent
2,We are compelled to act swiftly to resolve this.,high,urgent
1,This problem is not top priority but still important.,medium,not_urgent
0,This is low on the priority list.,low,not_urgent
2,Immediate steps must be taken to address this urgent issue.,high,urgent
1,The matter demands moderate attention and strategic planning.,medium,not_urgent
0,This matter can be addressed later.,low,not_urgent
2,There is an urgent need for action on this pressing matter.,high,urgent
1,This issue needs to be tackled before it grows in importance.,medium,not_urgent
0,This is not something pressing.,low,not_urgent
2,We must intervene immediately to prevent further escalation.,high,urgent
1,A timely but not immediate approach is required for this matter.,medium,not_urgent
0,This is easily deferred.,low,not_urgent
2,This situation demands immediate and decisive action.,high,urgent
1,This situation should be addressed with reasonable promptness.,medium,not_urgent
