label,processed_text,priority,urgency,type,queue
2.0,This is a critical issue.,high,urgent,,
1.0,This is a moderate issue.,medium,not_urgent,,
0.0,This is a minor issue.,low,not_urgent,,
2.0,This issue requires immediate attention.,high,urgent,,
1.0,This issue should be addressed soon.,medium,not_urgent,,
0.0,This issue is not urgent.,low,not_urgent,,
2.0,This problem is very serious.,high,urgent,,
1.0,This problem is not trivial.,medium,not_urgent,,
0.0,This problem is easily solvable.,low,not_urgent,,
2.0,Urgent action is needed immediately.,high,urgent,,
1.0,The situation has a significant impact.,medium,not_urgent,,
0.0,There is no rush on this task.,low,not_urgent,,
2.0,This is a high-priority concern.,high,urgent,,
1.0,The concern raised is of reasonable importance.,medium,not_urgent,,
0.0,This can wait until next week.,low,not_urgent,,
2.0,Immediate intervention is required.,high,urgent,,
1.0,It warrants attention but is not urgent.,medium,not_urgent,,
0.0,This issue is of low priority.,low,not_urgent,,
2.0,This situation is extremely urgent.,high,urgent,,
1.0,This matter requires consideration in the near future.,medium,not_urgent,,
0.0,This is not a critical concern.,low,not_urgent,,
2.0,We must address this issue right away.,high,urgent,,
1.0,"This is not a minor concern, yet not critical.",medium,not_urgent,,
0.0,There’s plenty of time to resolve this.,low,not_urgent,,
2.0,It is crucial that we act now.,high,urgent,,
1.0,The topic holds moderate relevance and should be reviewed.,medium,not_urgent,,
0.0,This is a trivial concern.,low,not_urgent,,
2.0,This cannot wait any longer.,high,urgent,,
1.0,"This issue, while not severe, should not be overlooked.",medium,not_urgent,,
0.0,This situation is under control.,low,not_urgent,,
2.0,Time is of the essence with this matter.,high,urgent,,
1.0,The issue presents a moderate level of importance.,medium,not_urgent,,
0.0,This is only a slight inconvenience.,low,not_urgent,,
2.0,This is a top-priority item.,high,urgent,,
1.0,Consider addressing this issue in the upcoming period.,medium,not_urgent,,
0.0,This problem has minimal impact.,low,not_urgent,,
2.0,We are facing a severe situation here.,high,urgent,,
1.0,This issue merits attention but can wait for now.,medium,not_urgent,,
0.0,This does not need immediate attention.,low,not_urgent,,
2.0,This matter demands immediate resolution.,high,urgent,,
1.0,The concern should be scheduled for review soon.,medium,not_urgent,,
0.0,We can deal with this later.,low,not_urgent,,
2.0,We must tackle this problem head-on without delay.,high,urgent,,
1.0,This problem holds enough significance to warrant discussion.,medium,not_urgent,,
0.0,This should not be prioritized right now.,low,not_urgent,,
2.0,This requires our immediate and undivided attention.,high,urgent,,
1.0,The impact of this issue is not negligible and requires planning.,medium,not_urgent,,
0.0,This matter is relatively unimportant.,low,not_urgent,,
2.0,This is an emergency situation.,high,urgent,,
1.0,This situation should be managed with a balanced approach soon.,medium,not_urgent,,
0.0,This is hardly a problem.,low,not_urgent,,
2.0,Action must be taken at once.,high,urgent,,
1.0,The matter is of moderate urgency and should be handled accordingly.,medium,not_urgent,,
0.0,There is no need to hurry with this.,low,not_urgent,,
2.0,This situation is growing increasingly serious.,high,urgent,,
1.0,"Addressing this will be beneficial, though it is not pressing.",medium,not_urgent,,
0.0,This can be postponed.,low,not_urgent,,
2.0,There is no time to waste on this issue.,high,urgent,,
1.0,The topic should be placed on the agenda for the next meeting.,medium,not_urgent,,
0.0,This issue is negligible.,low,not_urgent,,
2.0,We need a swift response to this crisis.,high,urgent,,
1.0,This concern should be given moderate priority.,medium,not_urgent,,
0.0,This is not a pressing matter.,low,not_urgent,,
2.0,This is a matter of high importance.,high,urgent,,
1.0,"The importance of this issue is clear, though it is not an emergency.",medium,not_urgent,,
0.0,This can be handled in routine processing.,low,not_urgent,,
2.0,Failure to act quickly could have severe consequences.,high,urgent,,
1.0,Moderate attention should be given to this matter in due course.,medium,not_urgent,,
0.0,This is not top of the agenda.,low,not_urgent,,
2.0,This is a pivotal moment that requires our focus.,high,urgent,,
1.0,This is not immediate but should not fall off the radar.,medium,not_urgent,,
0.0,There is minimal urgency here.,low,not_urgent,,
2.0,We cannot overlook the gravity of this situation.,high,urgent,,
1.0,The problem is significant enough to be addressed in the medium term.,medium,not_urgent,,
0.0,This is not a cause formajor issues.,low,not_urgent,,
2.0,This issue stands at the top of our agenda.,high,urgent,,
1.0,It is advisable to consider this issue at the next convenient opportunity.,medium,not_urgent,,
0.0,This is not something to worry about.,low,not_urgent,,
2.0,We are at a critical juncture with this problem.,high,urgent,,
1.0,This should be on our radar but does not require immediate action.,medium,not_urgent,,
0.0,This can easily be fixed.,low,not_urgent,,
