processed_text,type,queue,priority,urgency
"Urgent: Critical impact on enterprise network connectivity. Dear Customer Support Team, We are experiencing a complete outage affecting our enterprise network involving Cisco Router ISR4331. This disruption is critically impacting our secure WAN connectivity across all domains, urgently requiring your immediate intervention. Due to this issue, our company has halted various essential operations, significantly affecting our services and commitments to clients. As our technical team has not been able to resolve the problem internally, we need your expert support to diagnose and rectify this issue swiftly. Please consider this a high priority and provide us with the necessary technical assistance to restore our network’s functionality. Thank you for your prompt attention. Best regards, <name>, IT Manager at <company>",Incident,Technical Support,high,urgent
"Intermittent Cursor Freezing Issue on Dell XPS. Dear Customer Support,<br><br>I hope this message finds you well. I am experiencing an intermittent cursor freezing issue on my Dell XPS 13 9310. Despite updating all relevant drivers and software to the latest versions, the problem persists. This issue disrupts my productivity and it would be greatly appreciated if you could provide assistance in resolving this. Please let me know if there are any specific diagnostics I should perform or if a replacement unit might be necessary. Thank you for your attention to this matter.<br><br>Best regards,<br><name><br><tel_num><br><acc_num>",Incident,Product Support,low,not_urgent
"Urgent: Support needed for data recovery of MySQL 8.0.30. Hi, we have encountered severe data loss in MySQL 8.0.30. Immediate technical assistance is crucial to quickly recover the affected data. Thank you for your urgent attention.",Incident,Technical Support,high,urgent
"Inquiry about MacBook Air M1 features. Dear Customer Service Team,    I hope this message finds you safe. I am reaching out to you for information about the MacBook Air M1 as part of my purchase decision process. I would appreciate detailed information about its features, especially regarding processing speed, battery life, and available connectivity options. Also, could you provide me with insights about its compatibility with software commonly used for graphic design and productivity tasks?    It would also be very helpful to understand the pricing details. Are there any promotions or discounts currently running on the MacBook Air M1? In addition, it would be helpful to know about warranty options and after-sales support services. I want to make an informed decision and ensure that this laptop meets my professional needs, and your careful information is invaluable in this regard.    Thank you for your help. I look forward to your timely response with the requested details. You can contact me directly at <tel_num> should you require any further information from my side.    Best regards,    <name>",Request,Sales and Pre-Sales,low,not_urgent
"Request Assistance with Office 365 Installation Error. Dear Customer Support,    I am experiencing an installation error with Excel on Microsoft Office 365 and need assistance in resolving the issue quickly. The error occurs during the installation phase and has been preventing my ability to utilize required features in Excel, impacting my productivity. As a subscription user, this is causing inconvenience and requires immediate attention to resolve and implement an appropriate fix.    Please guide me through the process to resolve this issue or schedule a support session if necessary. It is crucial to resolve this as soon as possible to avoid further disruption. I look forward to your prompt response and successful resolution.    Thank you,    <name>",Problem,Technical Support,medium,not_urgent
"Exchange Request for Malfunctioning Dell XPS 13. Dear Tech Online Store Customer Support,    I hope this message finds you well. I am writing to request an exchange for my recently purchased Dell XPS 13 9310. Unfortunately, the device's display was malfunctioning right out of the box, which has been quite disappointing. My order number is <order_num>, and it was delivered on <delivery_date>.    I believe I am eligible for an exchange as per your store’s policy. Please advise on how to proceed with this process. I am eager to receive a fully functioning replacement.    Thank you for your prompt attention to this matter.    Best regards,    <name>    <email>    <tel_num>",Change,Returns and Exchanges,medium,not_urgent
"Request for Server Administration Assistance. Dear IT Services Customer Support,     We are writing to request professional assistance with server administration within our software development environment. Our client, <name>, has been experiencing performance issues specifically with their ticket system, and we believe this directly affects their ability to efficiently manage internal projects and communications.     The product in question is your IT Consulting Service, which has otherwise been exemplary. We suspect that optimizing server performance and ensuring all systems are operating efficiently will significantly improve the ticket handling process.     Our team has identified several bottlenecks within the current configuration that could be contributing to these performance issues. While we have implemented temporary solutions to mitigate the impact, a more comprehensive approach is necessary for long-term stability and efficiency.     Could you please prioritize our service request and provide us with available options or strategies that we could employ? We are keen on setting up a consultation as soon as possible. Looking forward to your prompt response.     Thank you for your cooperation and assistance.     Best regards,     <name>  <tel_num>",Request,Product Support,medium,not_urgent
"Immediate Attention Required: AWS Outage Concern. Greetings IT Services Customer Support,    I am <name> and I am contacting you to highlight an urgent problem with our AWS Management Service, account number <acc_num>. We have been experiencing considerable outages that are severely disrupting our operations. Given that we depend heavily on AWS for our cloud infrastructure, this interruption is significantly hindering our business continuity.    Our team first observed the outages affecting several elements of our system since <start_time>. What we initially thought might be a minor issue has escalated; despite our efforts to resolve the matter, including restarting services and reviewing the initial support documents, the outages have continued.    We urgently request assistance from your expert cloud infrastructure team to examine and solve this matter. Given its time-sensitive nature, rapid intervention is crucial for the restoration of our operations. We would greatly appreciate it if your team could treat this investigation as a priority and keep us informed about progress and findings. Additionally, could you please ensure that extra resources are allocated to expedite the resolution?    You can reach me at <email> or by phone at <tel_num>. We look forward to your prompt response to this urgent issue. Thank you for your swift attention to this important matter.    Sincerely,  <name>",Incident,Technical Support,high,urgent
"Urgent Assistance Needed. Hello Support Team,    I am reaching out to urgently request help regarding an issue I'm facing with Microsoft Office 365: Excel. Our team relies heavily on Excel for analyzing our weekly budget, but we've recently encountered a significant problem with formula errors, leading to erroneous calculations. This issue is critically impacting our financial assessments and needs immediate attention.    After noticing the discrepancies, I thoroughly evaluated the formulas and data inputs but the irregularities continue to persist. This situation has resulted in substantial inefficiencies and has raised concerns about the reliability of our reports. As a result, we are now unable to proceed with essential budgeting tasks for the upcoming quarter.    Given the urgent nature of this matter, I would truly appreciate it if your support team could provide a prompt and effective solution. Please let me know if you require any additional information from me, or if enabling remote access could assist in expediting the resolution. You can reach me directly at <tel_num>.    Thank you for your quick attention to this situation.    Warm regards,  <name>  <company_name>  <acc_num>",Request,IT Support,high,urgent
"Login issues with Microsoft Surface Pro 7. Dear Tech Online Store Support,    I hope this message finds you comfortable. I am writing to report an issue I am having with the Microsoft Surface Pro 7 tablet I purchased. The device is continually experiencing startup issues that result in login problems. As an important tool for my daily tasks, this malfunction has significantly impacted my productivity. I have tried basic troubleshooting methods such as restarting the device, checking for software updates, and resetting the device; however, these efforts have not resolved the issue. I am reaching out to you to request guidance on more advanced troubleshooting methods or to investigate the possibility of a warranty repair or replacement. Please let me know the next steps to resolve this issue. My order number is <order_num> and my account number is <acc_num>. Thank you for your attention to this matter, and I look forward to your prompt response.    Sincerely,  <name>  Contact: <tel_num>",Problem,Technical Support,high,urgent
