processed_text,subject,body,urgency
Critical Alert: Unauthorized Access Detected. Firewall settings need to be reviewed to address the security breach.,Critical Alert: Unauthorized Access Detected,Firewall settings need to be reviewed to address the security breach.,urgent
Emergency: Hardware Malfunction. The entire system is unresponsive and needs immediate resolution.,Emergency: Hardware Malfunction,The entire system is unresponsive and needs immediate resolution.,urgent
Urgent: Stakeholder Meeting Postponed. Production servers are overheating; shutdown required to prevent damage.,Urgent: Stakeholder Meeting Postponed,Production servers are overheating; shutdown required to prevent damage.,urgent
System Outage: Immediate Action Required. Production servers are overheating; shutdown required to prevent damage.,System Outage: Immediate Action Required,Production servers are overheating; shutdown required to prevent damage.,urgent
Emergency: Hardware Malfunction. The entire system is unresponsive and needs immediate resolution.,Emergency: Hardware Malfunction,The entire system is unresponsive and needs immediate resolution.,urgent
Follow-Up: Employee Satisfaction Survey. Please update the user profile picture at your earliest convenience.,Follow-Up: Employee Satisfaction Survey,Please update the user profile picture at your earliest convenience.,not_urgent
Network Crash Impacting All Users. Sensitive data has been exposed; we need to secure the system urgently.,Network Crash Impacting All Users,Sensitive data has been exposed; we need to secure the system urgently.,urgent
Suggestion: Enhance FAQ Section. The office directory update is pending; kindly confirm the changes.,Suggestion: Enhance FAQ Section,The office directory update is pending; kindly confirm the changes.,not_urgent
Data Breach Confirmed! Urgent Investigation Needed. The entire system is unresponsive and needs immediate resolution.,Data Breach Confirmed! Urgent Investigation Needed,The entire system is unresponsive and needs immediate resolution.,urgent
Reminder: Upcoming Maintenance. The office directory update is pending; kindly confirm the changes.,Reminder: Upcoming Maintenance,The office directory update is pending; kindly confirm the changes.,not_urgent
Suggestion: Enhance FAQ Section. The issue is not urgent and can wait for regular working hours.,Suggestion: Enhance FAQ Section,The issue is not urgent and can wait for regular working hours.,not_urgent
Emergency: Hardware Malfunction. Please address this issue before the end of the day to avoid escalation.,Emergency: Hardware Malfunction,Please address this issue before the end of the day to avoid escalation.,urgent
