processed_text,priority,urgency
Customer Support Chatbot Fails to Recognize Query Keywords,medium,not_urgent
"Common audio problems with the Zoom application. Dear Customer Service,  I am writing to report an issue with intermittent audio issues during video conferences via the Zoom application, version 5.11.0. This issue is seriously impacting my ability to participate effectively in meetings and I have not been able to identify a consistent pattern or trigger for these audio dropouts. Please advise me of any known solutions or steps I can take to resolve this issue. Thank you for your assistance.  Sincerely, <name> Contact: <tel_num> Account number: <acc_num>",low,not_urgent
Inconsistent Capitalization in UI Labels,medium,not_urgent
Inaccurate reporting of active users within the app,low,not_urgent
Occasional non-critical system outages during maintenance windows,low,not_urgent
User Permissions Not Properly Enforced in File Management System,medium,not_urgent
Misplacement of user avatars in group chats,low,not_urgent
"Network Connectivity Issues. Dear Customer Support,  I am writing to report a network connectivity issue we are experiencing with our Cisco ISR4331 Router, impacting our secure business network and high-performance connections. The router, which is essential to our day-to-day operations, has been dropping connections intermittently, impacting our overall productivity. We have rebooted the router and checked all physical connections, but the issue persists. Since this device is critical to ensuring high-speed data transfer across our network, a quick resolution is required.  Could you please provide guidance or arrange for a technical expert to assist us in diagnosing and resolving the issue? Any immediate advice to mitigate disruption would be greatly appreciated.  Thank you for your attention to this matter. You can contact me at <tel_num> or email <email> should you require further details.  Best regards,  <name> <acc_num>",medium,not_urgent
Webhook signature verification process poorly documented,low,not_urgent
Non-critical email notifications sent with delays,low,not_urgent
This is not an urgent problem.,low,not_urgent
Text Clipping on Itinerary Overview for Long Names,medium,not_urgent
File attachment icon overlaps send message button on smaller screens,low,not_urgent
Wrong Default Sorting Applied in Product Categories,medium,not_urgent
VoIP Call Echo Makes Conversation Difficult,medium,not_urgent
"IT Consulting Consultancy. Dear Customer Support Team, I hope this message finds you well. I am writing to express my interest in your IT Consulting Services to address some low-priority concerns we are currently facing regarding our software development and server administration. We are considering leveraging your expertise to gain insights and solutions that can improve the functionality and reliability of our system. Our primary focus is to ensure that our software applications run efficiently without interruptions, supporting team productivity and overall satisfaction among our users. Specifically, we have encountered minor issues related to integration processes that occasionally lead to unexpected errors during peak operational hours. In server administration, our current configurations are sufficient but would significantly benefit from expert assessment and optimization to anticipate any unforeseen bottlenecks. While none of these issues currently paralyze our operations, we aim to address them preemptively to maintain a seamless and consistent service delivery. As your company comes highly recommended for your innovative strategies and meaningful interventions in IT consulting, we are interested in learning how you could tailor your services to meet our specific business needs. Please let us know the next steps to schedule a consultation session at your convenience. Thank you for your time and assistance. Best regards, <name>",low,not_urgent
"Request to change user permissions. Dear Customer Service,  I hope you are well. We are experiencing an issue with user permissions in our Jira Software instance, specifically with version 8.20. This situation is significantly impacting our project management workflow. We recently received a request from one of our key users, <name>, who alerted us that certain permissions for project roles need to be adjusted to improve team collaboration and access.  Could you please help review the current permission settings? Additionally, we would appreciate your guidance on best practices to implement changes without disrupting our ongoing projects. If possible, a timeframe to resolve these issues would be very helpful.  I look forward to your prompt response.  Best regards,  <name> <name> Software Development Company <email_address> <tel_num>",medium,not_urgent
Error when trying to change chat theme in group settings,low,not_urgent
"Billing Inquiry for Service Renewal. Dear Customer Support, I am requesting the billing details for my upcoming service renewal for Microsoft Office 365. Additionally, I would like information on available cloud storage package options to help make an informed decision. Please assist me by providing these details at your earliest convenience. Thank you for your assistance. Regards, <name>",medium,not_urgent
Incorrect Metrics Display in Cloud Monitoring Dashboard,medium,not_urgent
"Assistance Required: Adobe Photoshop 2024 Installation Issue. Dear Customer Support,  I am writing to request assistance regarding an issue I am experiencing with the installation of Adobe Photoshop 2024. I purchased the software for my <acc_num> and attempted to install it on my computer, but unfortunately, I am encountering an error message stating 'installation incomplete'. This persists despite several efforts on my part to resolve the issue.  I have checked the system requirements and confirmed that my system meets the necessary specifications. Additionally, I have followed all the steps outlined in the provided installation guide. I have also attempted a clean install by uninstalling previous versions, but the issue remains unresolved.  Could you please guide me on how to resolve this issue? If there are any additional steps or troubleshooting procedures that I should follow, please let me know. I am looking forward to using the product and would appreciate your prompt assistance in facilitating a successful installation.  Thank you for your support. You can reach me at <tel_num> for any additional information you may need.  Kind regards, <name>",medium,not_urgent
"Request for Detailed Information about React Services. Dear Customer Support Team,  I hope this message finds you well. My name is <name>, and I am interested in learning more about your JavaScript React Application Development Service. We are planning an upcoming web project and believe that your React expertise could be invaluable to us. Could you provide detailed information about your services, including pricing, timelines, and any specific technical capabilities you offer? We are eager to understand how your solutions align with our project requirements.  Also, if there are any case studies or examples of similar projects that you can share, it would be greatly appreciated. Our project aims to improve the user experience with cutting-edge technology, and we are excited to explore how your services can help us achieve this goal.  Thank you for your assistance. Feel free to call me at <tel_num> for any clarification.  Best regards, <name>",medium,not_urgent
This can be addressed at our leisure.,low,not_urgent
Theme Setting Resets to Default After App Restart,medium,not_urgent
Minor deviations in non-critical system configurations from established standards,low,not_urgent
User activity log fails to capture all user actions,low,not_urgent
User Interface Not Responsive During Online Matches,medium,not_urgent
Inconsistent non-critical data exports,low,not_urgent
Spelling errors in the default error logs,low,not_urgent
This topic should be included in medium-term agenda items.,medium,not_urgent
Urgent Care Needed: Issue with AWS Deployment. The customer is facing challenges with accessing the AWS console following the latest update; they need immediate support.,medium,not_urgent
Intermittent Failure in ERP Job Scheduling Module,medium,not_urgent
This matter calls for a considered response at an appropriate time.,medium,not_urgent
"Connectivity issues. Dear Support Team,  I am writing to express my concern regarding the frequent network outages and slow data transmission we are experiencing with our current hardware. Specifically, this issue is affecting our Cisco ISR4331 router. These outages are occurring intermittently, significantly impacting our daily operations. Given the critical nature of our work, consistent and reliable network connectivity is paramount.  Could you please advise us on possible solutions or troubleshooting steps we could take? Additionally, if the situation requires escalation for technical intervention, please direct us to the appropriate team. Your prompt assistance in resolving this issue would be greatly appreciated.  Thank you for your attention to this issue.  Best Regards,  <name>",medium,not_urgent
"Access Problem with Jira Software. HR user unable to access Jira queue, impacting ticket handling. Please help resolve this issue with Jira Software version 8.20.",medium,not_urgent
Reproducibility issue with random seed not setting correctly,low,not_urgent
