Subject,Body,Priority
Important: At Risk,This is a at risk matter. Please handle urgently. Failure to address this may result in severe consequences.,High
Alert: Top Priority,This is a escalated matter. Please resolve immediately. Failure to address this may result in severe consequences.,High
Important: Blocking Issue,This is a showstopper matter. Please act now. Failure to address this may result in escalation.,High
Alert: Requires Action,This is a critical path matter. Please do not delay. Failure to address this may result in escalation.,High
Critical: Breakpoint,This is a high priority matter. Please act now. Failure to address this may result in severe consequences.,High
Critical: Customer Escalation,This is a extreme matter. Please resolve immediately. Failure to address this may result in severe consequences.,High
Alert: Go-Live Impact,This is a deadline missed matter. Please act now. Failure to address this may result in escalation.,High
Attention: Service Level Breach,This is a escalated matter. Please resolve immediately. Failure to address this may result in escalation.,High
Critical: At Risk,This is a operational freeze matter. Please act now. Failure to address this may result in severe consequences.,High
Critical: Workflow Blocked,This is a dire matter. Please act now. Failure to address this may result in severe consequences.,High
Attention: Handle Urgently,This is a immediate follow-up matter. Please handle urgently. Failure to address this may result in a critical failure.,High
Alert: Imminent Threat,This is a requires action matter. Please handle urgently. Failure to address this may result in severe consequences.,High
Important: Critical Condition,This is a fix now matter. Please act now. Failure to address this may result in escalation.,High
Alert: Urgent,This is a deal breaker matter. Please handle urgently. Failure to address this may result in escalation.,High
Alert: Life-or-Death,This is a do not delay matter. Please act now. Failure to address this may result in severe consequences.,High
Important: Imminent Threat,This is a red alert matter. Please do not delay. Failure to address this may result in escalation.,High
Critical: Operational Freeze,This is a blocking issue matter. Please do not delay. Failure to address this may result in escalation.,High
Important: Resolve Immediately,This is a fix now matter. Please do not delay. Failure to address this may result in a critical failure.,High
Attention: KPI at Risk,This is a client impact matter. Please resolve immediately. Failure to address this may result in escalation.,High
Attention: Urgent,This is a deadline missed matter. Please act now. Failure to address this may result in escalation.,High
Important: KPI at Risk,This is a must address matter. Please resolve immediately. Failure to address this may result in severe consequences.,High
Alert: Cannot Proceed,This is a escalated matter. Please handle urgently. Failure to address this may result in escalation.,High
Alert: Immediate,This is a service level breach matter. Please resolve immediately. Failure to address this may result in severe consequences.,High
Alert: Escalated,This is a must address matter. Please act now. Failure to address this may result in a critical failure.,High
Attention: Client Impact,This is a last minute matter. Please handle urgently. Failure to address this may result in escalation.,High
Alert: Handle Urgently,This is a critical matter. Please handle urgently. Failure to address this may result in a critical failure.,High
