text,level
Update your shift timing. Final Approval Needed. Please handle this immediately.,1
Time-Critical. No Later Than. Please handle this immediately.,1
Red Flag. ASAP (As Soon As Possible). Please handle this immediately.,1
"Do Not Delay. Today, Not Tomorrow. Please handle this immediately.",1
Address This Quickly. Immediate Action Required. Please handle this immediately.,1
Red Flag. No Later Than. Please handle this immediately.,1
Complete today's time diary by EOD. Take Action Immediately. Please handle this immediately.,1
Within the Hour. Act Now. Please handle this immediately.,1
Update time diary for specific dates. ASAP (As Soon As Possible). Please handle this immediately.,1
Deliverables Due. Blocking Task. Please handle this immediately.,1
By Noon. Final Approval Needed. Please handle this immediately.,1
Handle Without Delay. No Later Than. Please handle this immediately.,1
Pending Response. P1 (Priority 1). Please handle this immediately.,1
On Fire. Follow Up Immediately. Please handle this immediately.,1
Immediate Action Required. Needs Your Input. Please handle this immediately.,1
Urgent by Tomorrow. High Stakes. Please handle this immediately.,1
Critical for This Week. Needs Your Input. Please handle this immediately.,1
Escalated Task. Deadline Approaching. Please handle this immediately.,1
Time-Sensitive. Final Approval Needed. Please handle this immediately.,1
Finalize Urgently. Sign Off Required. Please handle this immediately.,1
Finalize time diaries for this month. Update time diary for specific dates. Please handle this immediately.,1
Finalize Urgently. Follow Up Immediately. Please handle this immediately.,1
On Fire. No Later Than. Please handle this immediately.,1
No Later Than. Within the Hour. Please handle this immediately.,1
Deliverables Due. Red Flag. Please handle this immediately.,1
Ensure clock out by EOD. Update your shift timing. Please handle this immediately.,1
Needs Your Input. Blocking Task. Please handle this immediately.,1
Requires Quick Turnaround. On Fire. Please handle this immediately.,1
Take Action Immediately. Attendance correction needed. Please handle this immediately.,1
Within the Hour. P1 (Priority 1). Please handle this immediately.,1
Address This Quickly. On Fire. Please handle this immediately.,1
Pending Response. Sign Off Required. Please handle this immediately.,1
By Noon. Quick Update Needed. Please handle this immediately.,1
Immediate Action Required. Deadline Approaching. Please handle this immediately.,1
Time-Sensitive. Clock in immediately. Please handle this immediately.,1
ASAP (As Soon As Possible). Follow Up Immediately. Please handle this immediately.,1
Ensure clock out by EOD. Resolve This Today. Please handle this immediately.,1
Finalize Urgently. Time-Critical. Please handle this immediately.,1
Clock in immediately. Blocking Task. Please handle this immediately.,1
